GeneID,dataset
AT1G47490,GTL1_targets
AT1G47530,GTL1_targets
AT1G47560,GTL1_targets
AT1G47580,GTL1_targets
AT1G47740,GTL1_targets
AT1G47990,GTL1_targets
AT1G48100,GTL1_targets
AT1G48280,GTL1_targets
AT1G48330,GTL1_targets
AT1G48410,GTL1_targets
AT1G48500,GTL1_targets
AT1G48800,GTL1_targets
AT1G48880,GTL1_targets
AT1G48960,GTL1_targets
AT1G49140,GTL1_targets
AT1G49160,GTL1_targets
AT1G49240,GTL1_targets
AT1G49245,GTL1_targets
AT1G49300,GTL1_targets
AT1G49310,GTL1_targets
AT1G49430,GTL1_targets
AT1G49460,GTL1_targets
AT1G49480,GTL1_targets
AT1G49490,GTL1_targets
AT1G49510,GTL1_targets
AT1G49520,GTL1_targets
AT1G49610,GTL1_targets
AT1G49680,GTL1_targets
AT1G49720,GTL1_targets
AT1G49760,GTL1_targets
AT1G49780,GTL1_targets
AT1G49840,GTL1_targets
AT1G50010,GTL1_targets
AT1G50020,GTL1_targets
AT1G50040,GTL1_targets
AT1G50220,GTL1_targets
AT1G50410,GTL1_targets
AT1G50460,GTL1_targets
AT1G50480,GTL1_targets
AT1G50580,GTL1_targets
AT1G50575,GTL1_targets
AT1G50590,GTL1_targets
AT1G50610,GTL1_targets
AT1G50630,GTL1_targets
AT1G50640,GTL1_targets
AT1G50930,GTL1_targets
AT1G51060,GTL1_targets
AT1G51070,GTL1_targets
AT1G51160,GTL1_targets
AT1G51190,GTL1_targets
AT1G51550,GTL1_targets
AT1G51630,GTL1_targets
AT1G51660,GTL1_targets
AT1G51690,GTL1_targets
AT1G51700,GTL1_targets
AT1G51760,GTL1_targets
AT1G51800,GTL1_targets
AT1G51805,GTL1_targets
AT1G51830,GTL1_targets
AT1G51860,GTL1_targets
AT1G51930,GTL1_targets
AT1G51940,GTL1_targets
AT1G51950,GTL1_targets
AT1G52160,GTL1_targets
AT1G52260,GTL1_targets
AT1G52280,GTL1_targets
AT1G52330,GTL1_targets
AT1G52325,GTL1_targets
AT1G52347,GTL1_targets
AT1G52360,GTL1_targets
AT1G52440,GTL1_targets
AT1G52560,GTL1_targets
AT1G52620,GTL1_targets
AT1G52720,GTL1_targets
AT1G52760,GTL1_targets
AT1G52840,GTL1_targets
AT1G52870,GTL1_targets
AT1G52880,GTL1_targets
AT1G52890,GTL1_targets
AT1G52905,GTL1_targets
AT1G52910,GTL1_targets
AT1G53010,GTL1_targets
AT1G53020,GTL1_targets
AT1G53040,GTL1_targets
AT1G53050,GTL1_targets
AT1G53090,GTL1_targets
AT1G53170,GTL1_targets
AT1G53180,GTL1_targets
AT1G53210,GTL1_targets
AT1G53233,GTL1_targets
AT1G53230,GTL1_targets
AT1G53250,GTL1_targets
AT1G53300,GTL1_targets
AT1G53310,GTL1_targets
